idx,subset,t2_feasible,t1_feasible,t1_sols,matched,extra,missed,category
0,"(1, 2, 3, 4, 5)",False,False,0,0,0,0,agree_infeasible
1,"(1, 2, 3, 4, 6)",False,False,0,0,0,0,agree_infeasible
2,"(1, 2, 3, 4, 7)",False,False,0,0,0,0,agree_infeasible
3,"(1, 2, 3, 4, 8)",True,True,1,1,0,0,agree_feasible
4,"(1, 2, 3, 4, 9)",False,False,0,0,0,0,agree_infeasible
5,"(1, 2, 3, 4, 10)",True,True,1,1,0,0,agree_feasible
6,"(1, 2, 3, 4, 11)",True,True,1,1,0,0,agree_feasible
7,"(1, 2, 3, 4, 12)",False,False,0,0,0,0,agree_infeasible
8,"(1, 2, 3, 4, 13)",False,False,0,0,0,0,agree_infeasible
9,"(1, 2, 3, 4, 14)",False,False,0,0,0,0,agree_infeasible
10,"(1, 2, 3, 4, 15)",False,False,0,0,0,0,agree_infeasible
11,"(1, 2, 3, 4, 16)",False,False,0,0,0,0,agree_infeasible
12,"(1, 2, 3, 4, 17)",False,False,0,0,0,0,agree_infeasible
13,"(1, 2, 3, 4, 18)",False,False,0,0,0,0,agree_infeasible
14,"(1, 2, 3, 4, 19)",True,True,1,1,0,0,agree_feasible
15,"(1, 2, 3, 4, 20)",False,False,0,0,0,0,agree_infeasible
16,"(1, 2, 3, 5, 6)",False,False,0,0,0,0,agree_infeasible
17,"(1, 2, 3, 5, 7)",False,False,0,0,0,0,agree_infeasible
18,"(1, 2, 3, 5, 8)",True,True,1,1,0,0,agree_feasible
19,"(1, 2, 3, 5, 9)",False,False,0,0,0,0,agree_infeasible
20,"(1, 2, 3, 5, 10)",True,True,1,1,0,0,agree_feasible
21,"(1, 2, 3, 5, 11)",True,True,1,1,0,0,agree_feasible
22,"(1, 2, 3, 5, 12)",False,False,0,0,0,0,agree_infeasible
23,"(1, 2, 3, 5, 13)",False,False,0,0,0,0,agree_infeasible
24,"(1, 2, 3, 5, 14)",False,False,0,0,0,0,agree_infeasible
25,"(1, 2, 3, 5, 15)",True,True,1,1,0,0,agree_feasible
26,"(1, 2, 3, 5, 16)",False,False,0,0,0,0,agree_infeasible
27,"(1, 2, 3, 5, 17)",False,False,0,0,0,0,agree_infeasible
28,"(1, 2, 3, 5, 18)",False,False,0,0,0,0,agree_infeasible
29,"(1, 2, 3, 5, 19)",True,True,1,1,0,0,agree_feasible
30,"(1, 2, 3, 5, 20)",False,False,0,0,0,0,agree_infeasible
31,"(1, 2, 3, 6, 7)",False,False,0,0,0,0,agree_infeasible
32,"(1, 2, 3, 6, 8)",False,False,0,0,0,0,agree_infeasible
33,"(1, 2, 3, 6, 9)",False,False,0,0,0,0,agree_infeasible
34,"(1, 2, 3, 6, 10)",False,False,0,0,0,0,agree_infeasible
35,"(1, 2, 3, 6, 11)",False,False,0,0,0,0,agree_infeasible
36,"(1, 2, 3, 6, 12)",False,False,0,0,0,0,agree_infeasible
37,"(1, 2, 3, 6, 13)",False,False,0,0,0,0,agree_infeasible
38,"(1, 2, 3, 6, 14)",False,False,0,0,0,0,agree_infeasible
39,"(1, 2, 3, 6, 15)",False,False,0,0,0,0,agree_infeasible
40,"(1, 2, 3, 6, 16)",False,False,0,0,0,0,agree_infeasible
41,"(1, 2, 3, 6, 17)",False,False,0,0,0,0,agree_infeasible
42,"(1, 2, 3, 6, 18)",False,False,0,0,0,0,agree_infeasible
43,"(1, 2, 3, 6, 19)",False,False,0,0,0,0,agree_infeasible
44,"(1, 2, 3, 6, 20)",False,False,0,0,0,0,agree_infeasible
45,"(1, 2, 3, 7, 8)",False,False,0,0,0,0,agree_infeasible
46,"(1, 2, 3, 7, 9)",False,False,0,0,0,0,agree_infeasible
47,"(1, 2, 3, 7, 10)",False,False,0,0,0,0,agree_infeasible
48,"(1, 2, 3, 7, 11)",False,False,0,0,0,0,agree_infeasible
49,"(1, 2, 3, 7, 12)",False,False,0,0,0,0,agree_infeasible
50,"(1, 2, 3, 7, 13)",False,False,0,0,0,0,agree_infeasible
51,"(1, 2, 3, 7, 14)",False,False,0,0,0,0,agree_infeasible
52,"(1, 2, 3, 7, 15)",False,False,0,0,0,0,agree_infeasible
53,"(1, 2, 3, 7, 16)",False,False,0,0,0,0,agree_infeasible
54,"(1, 2, 3, 7, 17)",False,False,0,0,0,0,agree_infeasible
55,"(1, 2, 3, 7, 18)",False,False,0,0,0,0,agree_infeasible
56,"(1, 2, 3, 7, 19)",False,False,0,0,0,0,agree_infeasible
57,"(1, 2, 3, 7, 20)",False,False,0,0,0,0,agree_infeasible
58,"(1, 2, 3, 8, 9)",True,True,1,1,0,0,agree_feasible
59,"(1, 2, 3, 8, 10)",True,True,1,1,0,0,agree_feasible
60,"(1, 2, 3, 8, 11)",True,True,1,1,0,0,agree_feasible
61,"(1, 2, 3, 8, 12)",False,False,0,0,0,0,agree_infeasible
62,"(1, 2, 3, 8, 13)",True,True,1,1,0,0,agree_feasible
63,"(1, 2, 3, 8, 14)",True,True,1,1,0,0,agree_feasible
64,"(1, 2, 3, 8, 15)",True,True,1,1,0,0,agree_feasible
65,"(1, 2, 3, 8, 16)",True,True,1,1,0,0,agree_feasible
66,"(1, 2, 3, 8, 17)",False,False,0,0,0,0,agree_infeasible
67,"(1, 2, 3, 8, 18)",False,False,0,0,0,0,agree_infeasible
68,"(1, 2, 3, 8, 19)",True,True,1,1,0,0,agree_feasible
69,"(1, 2, 3, 8, 20)",True,True,1,1,0,0,agree_feasible
70,"(1, 2, 3, 9, 10)",False,False,0,0,0,0,agree_infeasible
71,"(1, 2, 3, 9, 11)",True,True,1,1,0,0,agree_feasible
72,"(1, 2, 3, 9, 12)",False,False,0,0,0,0,agree_infeasible
73,"(1, 2, 3, 9, 13)",False,False,0,0,0,0,agree_infeasible
74,"(1, 2, 3, 9, 14)",False,False,0,0,0,0,agree_infeasible
75,"(1, 2, 3, 9, 15)",False,False,0,0,0,0,agree_infeasible
76,"(1, 2, 3, 9, 16)",True,True,1,1,0,0,agree_feasible
77,"(1, 2, 3, 9, 17)",False,False,0,0,0,0,agree_infeasible
78,"(1, 2, 3, 9, 18)",False,False,0,0,0,0,agree_infeasible
79,"(1, 2, 3, 9, 19)",False,False,0,0,0,0,agree_infeasible
80,"(1, 2, 3, 9, 20)",True,True,1,1,0,0,agree_feasible
81,"(1, 2, 3, 10, 11)",True,True,1,1,0,0,agree_feasible
82,"(1, 2, 3, 10, 12)",False,False,0,0,0,0,agree_infeasible
83,"(1, 2, 3, 10, 13)",True,True,1,1,0,0,agree_feasible
84,"(1, 2, 3, 10, 14)",True,True,1,1,0,0,agree_feasible
85,"(1, 2, 3, 10, 15)",True,True,1,1,0,0,agree_feasible
86,"(1, 2, 3, 10, 16)",False,False,0,0,0,0,agree_infeasible
87,"(1, 2, 3, 10, 17)",False,False,0,0,0,0,agree_infeasible
88,"(1, 2, 3, 10, 18)",True,True,1,1,0,0,agree_feasible
89,"(1, 2, 3, 10, 19)",True,True,1,1,0,0,agree_feasible
90,"(1, 2, 3, 10, 20)",False,False,0,0,0,0,agree_infeasible
91,"(1, 2, 3, 11, 12)",False,False,0,0,0,0,agree_infeasible
92,"(1, 2, 3, 11, 13)",True,True,1,1,0,0,agree_feasible
93,"(1, 2, 3, 11, 14)",True,True,1,1,0,0,agree_feasible
94,"(1, 2, 3, 11, 15)",True,True,1,1,0,0,agree_feasible
95,"(1, 2, 3, 11, 16)",False,False,0,0,0,0,agree_infeasible
96,"(1, 2, 3, 11, 17)",False,False,0,0,0,0,agree_infeasible
97,"(1, 2, 3, 11, 18)",False,False,0,0,0,0,agree_infeasible
98,"(1, 2, 3, 11, 19)",True,True,1,1,0,0,agree_feasible
99,"(1, 2, 3, 11, 20)",False,False,0,0,0,0,agree_infeasible
100,"(1, 2, 3, 12, 13)",False,False,0,0,0,0,agree_infeasible
101,"(1, 2, 3, 12, 14)",False,False,0,0,0,0,agree_infeasible
102,"(1, 2, 3, 12, 15)",False,False,0,0,0,0,agree_infeasible
103,"(1, 2, 3, 12, 16)",False,False,0,0,0,0,agree_infeasible
104,"(1, 2, 3, 12, 17)",False,False,0,0,0,0,agree_infeasible
105,"(1, 2, 3, 12, 18)",False,False,0,0,0,0,agree_infeasible
106,"(1, 2, 3, 12, 19)",False,False,0,0,0,0,agree_infeasible
107,"(1, 2, 3, 12, 20)",False,False,0,0,0,0,agree_infeasible
108,"(1, 2, 3, 13, 14)",False,False,0,0,0,0,agree_infeasible
109,"(1, 2, 3, 13, 15)",False,False,0,0,0,0,agree_infeasible
110,"(1, 2, 3, 13, 16)",False,False,0,0,0,0,agree_infeasible
111,"(1, 2, 3, 13, 17)",False,False,0,0,0,0,agree_infeasible
112,"(1, 2, 3, 13, 18)",False,False,0,0,0,0,agree_infeasible
113,"(1, 2, 3, 13, 19)",True,True,1,1,0,0,agree_feasible
114,"(1, 2, 3, 13, 20)",False,False,0,0,0,0,agree_infeasible
115,"(1, 2, 3, 14, 15)",True,True,1,1,0,0,agree_feasible
116,"(1, 2, 3, 14, 16)",False,False,0,0,0,0,agree_infeasible
117,"(1, 2, 3, 14, 17)",False,False,0,0,0,0,agree_infeasible
118,"(1, 2, 3, 14, 18)",False,False,0,0,0,0,agree_infeasible
119,"(1, 2, 3, 14, 19)",True,True,1,1,0,0,agree_feasible
120,"(1, 2, 3, 14, 20)",False,False,0,0,0,0,agree_infeasible
121,"(1, 2, 3, 15, 16)",False,False,0,0,0,0,agree_infeasible
122,"(1, 2, 3, 15, 17)",False,False,0,0,0,0,agree_infeasible
123,"(1, 2, 3, 15, 18)",False,False,0,0,0,0,agree_infeasible
124,"(1, 2, 3, 15, 19)",True,True,1,1,0,0,agree_feasible
125,"(1, 2, 3, 15, 20)",False,False,0,0,0,0,agree_infeasible
126,"(1, 2, 3, 16, 17)",False,False,0,0,0,0,agree_infeasible
127,"(1, 2, 3, 16, 18)",True,True,1,1,0,0,agree_feasible
128,"(1, 2, 3, 16, 19)",True,True,1,1,0,0,agree_feasible
129,"(1, 2, 3, 16, 20)",True,True,1,1,0,0,agree_feasible
130,"(1, 2, 3, 17, 18)",False,False,0,0,0,0,agree_infeasible
131,"(1, 2, 3, 17, 19)",False,False,0,0,0,0,agree_infeasible
132,"(1, 2, 3, 17, 20)",False,False,0,0,0,0,agree_infeasible
133,"(1, 2, 3, 18, 19)",True,True,1,1,0,0,agree_feasible
134,"(1, 2, 3, 18, 20)",True,True,1,1,0,0,agree_feasible
135,"(1, 2, 3, 19, 20)",True,True,1,1,0,0,agree_feasible
136,"(1, 2, 4, 5, 6)",False,False,0,0,0,0,agree_infeasible
137,"(1, 2, 4, 5, 7)",False,False,0,0,0,0,agree_infeasible
138,"(1, 2, 4, 5, 8)",True,True,1,1,0,0,agree_feasible
139,"(1, 2, 4, 5, 9)",False,False,0,0,0,0,agree_infeasible
140,"(1, 2, 4, 5, 10)",True,True,1,1,0,0,agree_feasible
141,"(1, 2, 4, 5, 11)",True,True,1,1,0,0,agree_feasible
142,"(1, 2, 4, 5, 12)",False,False,0,0,0,0,agree_infeasible
143,"(1, 2, 4, 5, 13)",False,False,0,0,0,0,agree_infeasible
144,"(1, 2, 4, 5, 14)",False,False,0,0,0,0,agree_infeasible
145,"(1, 2, 4, 5, 15)",True,True,1,1,0,0,agree_feasible
146,"(1, 2, 4, 5, 16)",False,False,0,0,0,0,agree_infeasible
147,"(1, 2, 4, 5, 17)",False,False,0,0,0,0,agree_infeasible
148,"(1, 2, 4, 5, 18)",False,False,0,0,0,0,agree_infeasible
149,"(1, 2, 4, 5, 19)",True,True,1,1,0,0,agree_feasible
150,"(1, 2, 4, 5, 20)",False,False,0,0,0,0,agree_infeasible
151,"(1, 2, 4, 6, 7)",False,False,0,0,0,0,agree_infeasible
152,"(1, 2, 4, 6, 8)",False,False,0,0,0,0,agree_infeasible
153,"(1, 2, 4, 6, 9)",False,False,0,0,0,0,agree_infeasible
154,"(1, 2, 4, 6, 10)",False,False,0,0,0,0,agree_infeasible
155,"(1, 2, 4, 6, 11)",True,True,1,1,0,0,agree_feasible
156,"(1, 2, 4, 6, 12)",False,False,0,0,0,0,agree_infeasible
157,"(1, 2, 4, 6, 13)",False,False,0,0,0,0,agree_infeasible
158,"(1, 2, 4, 6, 14)",False,False,0,0,0,0,agree_infeasible
159,"(1, 2, 4, 6, 15)",False,False,0,0,0,0,agree_infeasible
160,"(1, 2, 4, 6, 16)",False,False,0,0,0,0,agree_infeasible
161,"(1, 2, 4, 6, 17)",False,False,0,0,0,0,agree_infeasible
162,"(1, 2, 4, 6, 18)",False,False,0,0,0,0,agree_infeasible
163,"(1, 2, 4, 6, 19)",False,False,0,0,0,0,agree_infeasible
164,"(1, 2, 4, 6, 20)",False,False,0,0,0,0,agree_infeasible
165,"(1, 2, 4, 7, 8)",False,False,0,0,0,0,agree_infeasible
166,"(1, 2, 4, 7, 9)",False,False,0,0,0,0,agree_infeasible
167,"(1, 2, 4, 7, 10)",False,False,0,0,0,0,agree_infeasible
168,"(1, 2, 4, 7, 11)",False,False,0,0,0,0,agree_infeasible
169,"(1, 2, 4, 7, 12)",False,False,0,0,0,0,agree_infeasible
170,"(1, 2, 4, 7, 13)",False,False,0,0,0,0,agree_infeasible
171,"(1, 2, 4, 7, 14)",False,False,0,0,0,0,agree_infeasible
172,"(1, 2, 4, 7, 15)",False,False,0,0,0,0,agree_infeasible
173,"(1, 2, 4, 7, 16)",False,False,0,0,0,0,agree_infeasible
174,"(1, 2, 4, 7, 17)",False,False,0,0,0,0,agree_infeasible
175,"(1, 2, 4, 7, 18)",False,False,0,0,0,0,agree_infeasible
176,"(1, 2, 4, 7, 19)",False,False,0,0,0,0,agree_infeasible
177,"(1, 2, 4, 7, 20)",False,False,0,0,0,0,agree_infeasible
178,"(1, 2, 4, 8, 9)",False,False,0,0,0,0,agree_infeasible
179,"(1, 2, 4, 8, 10)",True,True,1,1,0,0,agree_feasible
180,"(1, 2, 4, 8, 11)",True,True,1,1,0,0,agree_feasible
181,"(1, 2, 4, 8, 12)",False,False,0,0,0,0,agree_infeasible
182,"(1, 2, 4, 8, 13)",True,True,1,1,0,0,agree_feasible
183,"(1, 2, 4, 8, 14)",True,True,1,1,0,0,agree_feasible
184,"(1, 2, 4, 8, 15)",True,True,1,1,0,0,agree_feasible
185,"(1, 2, 4, 8, 16)",False,False,0,0,0,0,agree_infeasible
186,"(1, 2, 4, 8, 17)",False,False,0,0,0,0,agree_infeasible
187,"(1, 2, 4, 8, 18)",False,False,0,0,0,0,agree_infeasible
188,"(1, 2, 4, 8, 19)",True,True,1,1,0,0,agree_feasible
189,"(1, 2, 4, 8, 20)",False,False,0,0,0,0,agree_infeasible
190,"(1, 2, 4, 9, 10)",False,False,0,0,0,0,agree_infeasible
191,"(1, 2, 4, 9, 11)",True,True,1,1,0,0,agree_feasible
192,"(1, 2, 4, 9, 12)",False,False,0,0,0,0,agree_infeasible
